led_id,x,y,size
0,575,49,20
1,513,44,19
2,453,39,19
3,393,34,19
4,332,28,18
5,272,23,19
6,212,18,19
7,-140,-28,19
8,-114,-35,19
9,-86,-36,19
10,-554,129,19
11,-496,116,19
12,-438,102,19
13,-380,89,19
14,-322,75,19
15,-264,61,19
16,566,109,19
17,506,98,20
18,446,86,19
19,387,75,18
20,327,63,19
21,268,51,19
22,209,40,19
23,-125,-70,19
24,-98,-68,19
25,-71,-60,19
26,-538,187,19
27,-481,167,19
28,-425,147,18
29,-368,128,19
30,-312,108,19
31,-256,89,19
32,551,168,20
33,493,150,20
34,435,132,19
35,377,115,21
36,318,97,19
37,261,79,19
38,204,62,19
39,-97,-106,19
40,-72,-95,19
41,-49,-80,19
42,-515,242,19
43,-461,216,19
44,-407,191,19
45,-353,166,19
46,-299,140,19
47,-245,115,19
48,531,224,20
49,474,201,20
50,418,177,19
51,363,153,20
52,307,130,20
53,251,106,19
54,196,83,18
55,-60,-130,19
56,-39,-113,18
57,-22,-91,19
58,-487,294,18
59,-436,263,19
60,-385,233,19
61,-334,202,19
62,-283,171,19
63,-232,140,19
64,504,279,19
65,451,249,20
66,398,220,19
67,345,190,20
68,291,161,19
69,239,132,19
70,186,103,18
71,4,212,19
72,-181,109,18
73,-185,-102,19
74,-454,344,19
75,-406,308,19
76,-359,272,19
77,-311,236,19
78,-264,200,19
79,-216,164,19
80,472,330,20
81,422,295,20
82,372,260,19
83,322,225,20
84,273,190,19
85,223,156,19
86,175,121,18
87,-18,211,18
88,-191,90,18
89,-173,-121,18
90,-416,390,19
91,-372,349,19
92,-328,308,19
93,-285,267,19
94,-242,226,19
95,-198,185,19
96,435,377,20
97,389,337,20
98,343,297,20
99,297,258,19
100,251,218,20
101,206,178,19
102,161,139,18
103,-40,208,19
104,-200,69,18
105,-160,-139,19
106,-373,431,18
107,-334,386,19
108,-295,340,19
109,-255,295,19
110,-217,250,20
111,-178,205,19
112,393,420,19
113,351,376,20
114,310,331,20
115,269,287,19
116,227,243,19
117,186,199,19
118,145,155,18
119,-61,203,18
120,-206,48,19
121,-145,-154,18
122,-326,468,19
123,-292,419,19
124,-257,370,19
125,-223,320,19
126,-189,272,20
127,-155,222,19
128,347,459,20
129,310,410,20
130,274,362,19
131,237,313,20
132,200,265,19
133,164,217,19
134,128,169,18
135,-82,195,19
136,-210,26,19
137,-128,-169,19
138,-275,500,19
139,-246,447,19
140,-217,395,20
141,-189,342,19
142,-160,290,19
143,-131,238,19
144,297,492,20
145,266,440,19
146,234,388,19
147,203,336,19
148,172,285,19
149,140,233,19
150,110,182,19
151,-102,186,19
152,-211,4,18
153,-109,-181,17
154,-222,526,20
155,-198,471,19
156,-175,415,19
157,-152,360,20
158,-129,305,19
159,-106,250,19
160,244,520,19
161,218,465,19
162,192,410,19
163,167,355,19
164,141,301,19
165,116,246,19
166,90,192,18
167,-121,174,19
168,-211,-18,19
169,-90,-192,19
170,-166,547,19
171,-148,489,20
172,-131,432,19
173,-113,374,20
174,-96,317,19
175,-79,260,19
176,188,542,20
177,168,485,19
178,148,428,19
179,129,371,19
180,109,314,19
181,89,257,19
182,70,200,19
183,-138,160,18
184,-207,-40,19
185,-69,-200,19
186,-108,561,19
187,-96,502,20
188,-85,443,19
189,-74,384,19
190,-63,325,19
191,-51,267,19
192,130,558,20
193,116,499,20
194,103,441,19
195,89,382,19
196,75,323,19
197,62,265,19
198,48,206,19
199,-154,144,19
200,-202,-62,18
201,-48,-207,19
202,-49,570,20
203,-43,510,20
204,-38,450,20
205,-33,390,19
206,-28,330,19
207,-23,271,19
